,b'\x83{\x81[\x83\x8a\x83\x93\x83O',b'PL\x8b\xe6\x95\xaa',recoords
5078,21271,b'\x8f\xac\x81i0\x81\x85PL\x81\x835\x81j',"[[15550850.59367506, 4263000.968520473]]"
5079,21272,b'\x8f\xac\x81i0\x81\x85PL\x81\x835\x81j',"[[15550824.000138534, 4262949.166531904]]"
5080,21273,b'\x8f\xac\x81i0\x81\x85PL\x81\x835\x81j',"[[15550846.88352996, 4263076.005785183]]"
5081,21274,b'\x8f\xac\x81i0\x81\x85PL\x81\x835\x81j',"[[15550596.720713522, 4262815.472965683]]"
5082,21275,b'\x8f\xac\x81i0\x81\x85PL\x81\x835\x81j',"[[15550857.703146981, 4262679.875920358]]"
5083,21276,b'\x8f\xac\x81i0\x81\x85PL\x81\x835\x81j',"[[15550415.206354475, 4262687.494242612]]"
5084,21277,b'\x8f\xac\x81i0\x81\x85PL\x81\x835\x81j',"[[15550013.223308107, 4263355.5913506225]]"
5085,21278,b'\x8f\xac\x81i0\x81\x85PL\x81\x835\x81j',"[[15550870.690866712, 4262730.1531801205]]"
5086,21279,b'\x92\x86\x81i5\x81\x85PL\x81\x8315\x81j',"[[15551003.966942528, 4262895.460049075]]"
5087,21280,b'\x8f\xac\x81i0\x81\x85PL\x81\x835\x81j',"[[15550529.936084675, 4263686.607295904]]"
5088,21281,b'\x8f\xac\x81i0\x81\x85PL\x81\x835\x81j',"[[15549427.866383879, 4263480.912404179]]"
5089,21282,b'\x92\x86\x81i5\x81\x85PL\x81\x8315\x81j',"[[15548902.188400188, 4263480.913025324]]"
5090,21313,b'\x8f\xac\x81i0\x81\x85PL\x81\x835\x81j',"[[15548968.049993036, 4263168.186329869]]"
5091,21314,b'\x8f\xac\x81i0\x81\x85PL\x81\x835\x81j',"[[15548975.471089313, 4263129.715055344]]"
5092,21316,b'\x8f\xac\x81i0\x81\x85PL\x81\x835\x81j',"[[15549658.540544711, 4262809.379767441]]"
5093,21317,b'\x8f\xac\x81i0\x81\x85PL\x81\x835\x81j',"[[15549492.48867104, 4262869.941949232]]"
5094,21318,b'\x92\x86\x81i5\x81\x85PL\x81\x8315\x81j',"[[15548859.517148245, 4263647.374073317]]"
5095,21319,b'\x8f\xac\x81i0\x81\x85PL\x81\x835\x81j',"[[15548828.594930995, 4263647.374140401]]"
5096,21321,b'\x8f\xac\x81i0\x81\x85PL\x81\x835\x81j',"[[15548828.594930995, 4263647.374140401]]"
5097,21326,b'\x8f\xac\x81i0\x81\x85PL\x81\x835\x81j',"[[15547912.670571975, 4262833.378533177]]"
5098,21335,b'\x8f\xac\x81i0\x81\x85PL\x81\x835\x81j',"[[15547386.99259139, 4262909.558096978]]"
5099,21341,b'\x8f\xac\x81i0\x81\x85PL\x81\x835\x81j',"[[15548438.354666963, 4263480.9136336595]]"
5100,21346,b'\x8f\xac\x81i0\x81\x85PL\x81\x835\x81j',"[[15547499.248352373, 4263885.835331148]]"
5101,21347,b'\x92\x86\x81i5\x81\x85PL\x81\x8315\x81j',"[[15547524.913688583, 4263872.883705007]]"
5102,21348,b'\x92\x86\x81i5\x81\x85PL\x81\x8315\x81j',"[[15547941.430990493, 4263156.760819564]]"
5103,21349,b'\x8f\xac\x81i0\x81\x85PL\x81\x835\x81j',"[[15547981.629930938, 4263163.236112322]]"
5104,21350,b'\x8f\xac\x81i0\x81\x85PL\x81\x835\x81j',"[[15547960.29356044, 4263158.665306571]]"
5105,21351,b'\x8f\xac\x81i0\x81\x85PL\x81\x835\x81j',"[[15547988.125289315, 4263359.784166895]]"
5106,21352,b'\x8f\xac\x81i0\x81\x85PL\x81\x835\x81j',"[[15547934.01138099, 4263368.545257309]]"
5107,21353,b'\x8f\xac\x81i0\x81\x85PL\x81\x835\x81j',"[[15548372.485228142, 4262901.557695368]]"
5108,21354,b'\x8f\xac\x81i0\x81\x85PL\x81\x835\x81j',"[[15548398.76933658, 4262917.174363198]]"
5109,21355,b'\x8f\xac\x81i0\x81\x85PL\x81\x835\x81j',"[[15547445.125377556, 4262759.867417317]]"
5110,21356,b'\x8f\xac\x81i0\x81\x85PL\x81\x835\x81j',"[[15547430.90115966, 4262777.388288263]]"
5111,21357,b'\x8f\xac\x81i0\x81\x85PL\x81\x835\x81j',"[[15547428.736230241, 4262728.253606762]]"
5112,21359,b'\x8f\xac\x81i0\x81\x85PL\x81\x835\x81j',"[[15547753.12024306, 4263879.739978175]]"
5113,21366,b'\x8f\xac\x81i0\x81\x85PL\x81\x835\x81j',"[[15546645.166763423, 4262833.380804744]]"
5114,21368,b'\x8f\xac\x81i0\x81\x85PL\x81\x835\x81j',"[[15546583.323318118, 4262985.73894071]]"
5115,21389,b'\x8f\xac\x81i0\x81\x85PL\x81\x835\x81j',"[[15546174.839322628, 4262883.278656893]]"
5116,21391,b'\x8f\xac\x81i0\x81\x85PL\x81\x835\x81j',"[[15546401.190192174, 4262858.901034769]]"
5117,21392,b'\x8f\xac\x81i0\x81\x85PL\x81\x835\x81j',"[[15547251.551202396, 4262670.7399003245]]"
5118,21393,b'\x8f\xac\x81i0\x81\x85PL\x81\x835\x81j',"[[15546520.549421847, 4262759.869099928]]"
5119,21394,b'\x8f\xac\x81i0\x81\x85PL\x81\x835\x81j',"[[15546556.109807651, 4262726.731643005]]"
5120,21395,b'\x8f\xac\x81i0\x81\x85PL\x81\x835\x81j',"[[15546659.70470029, 4263429.493543175]]"
5121,21397,b'\x8f\xac\x81i0\x81\x85PL\x81\x835\x81j',"[[15546594.458692137, 4263430.636512487]]"
5122,21398,b'\x92\x86\x81i5\x81\x85PL\x81\x8315\x81j',"[[15546690.627040526, 4263432.159919297]]"
5123,21399,b'\x8f\xac\x81i0\x81\x85PL\x81\x835\x81j',"[[15546715.673667466, 4263378.4512125105]]"
5124,21400,b'\x8f\xac\x81i0\x81\x85PL\x81\x835\x81j',"[[15546719.693900663, 4263426.065261765]]"
5125,21401,b'\x8f\xac\x81i0\x81\x85PL\x81\x835\x81j',"[[15546436.135200927, 4263242.848179337]]"
5126,21402,b'\x8f\xac\x81i0\x81\x85PL\x81\x835\x81j',"[[15546503.545130849, 4263159.429773107]]"
5127,21403,b'\x8f\xac\x81i0\x81\x85PL\x81\x835\x81j',"[[15546539.724564288, 4263200.948313905]]"
5128,21406,b'\x8f\xac\x81i0\x81\x85PL\x81\x835\x81j',"[[15546478.500566637, 4263495.011219834]]"
5129,21407,b'\x8f\xac\x81i0\x81\x85PL\x81\x835\x81j',"[[15546169.272015354, 4262695.118675646]]"
5130,21414,b'\x92\x86\x81i5\x81\x85PL\x81\x8315\x81j',"[[15545037.214002253, 4263518.630515177]]"
5131,21415,b'\x8f\xac\x81i0\x81\x85PL\x81\x835\x81j',"[[15545284.592609208, 4263632.905682179]]"
5132,21416,b'\x8f\xac\x81i0\x81\x85PL\x81\x835\x81j',"[[15545284.593932446, 4263823.367422671]]"
5133,21419,b'\x8f\xac\x81i0\x81\x85PL\x81\x835\x81j',"[[15545700.186346633, 4263447.017550367]]"
5134,21422,b'\x8f\xac\x81i0\x81\x85PL\x81\x835\x81j',"[[15544920.020314395, 4263774.990353157]]"
5135,21423,b'\x8f\xac\x81i0\x81\x85PL\x81\x835\x81j',"[[15545122.869778367, 4263693.4723719675]]"
5136,21424,b'\x8f\xac\x81i0\x81\x85PL\x81\x835\x81j',"[[15545275.313776044, 4263304.557226523]]"
5137,21425,b'\x8f\xac\x81i0\x81\x85PL\x81\x835\x81j',"[[15545301.906799057, 4263282.083665592]]"
5138,21426,b'\x8f\xac\x81i0\x81\x85PL\x81\x835\x81j',"[[15545174.816532312, 4263305.319181457]]"
5139,21427,b'\x8f\xac\x81i0\x81\x85PL\x81\x835\x81j',"[[15545147.60752017, 4263699.567125022]]"
5140,21428,b'\x8f\xac\x81i0\x81\x85PL\x81\x835\x81j',"[[15545177.908730121, 4263287.03561462]]"
5141,21429,b'\x92\x86\x81i5\x81\x85PL\x81\x8315\x81j',"[[15545920.355893688, 4263884.314949584]]"
5142,21430,b'\x8f\xac\x81i0\x81\x85PL\x81\x835\x81j',"[[15545203.264756534, 4263273.322884813]]"
5143,21431,b'\x8f\xac\x81i0\x81\x85PL\x81\x835\x81j',"[[15545144.512304349, 4263234.851332136]]"
5144,21432,b'\x8f\xac\x81i0\x81\x85PL\x81\x835\x81j',"[[15546076.203070618, 4263704.136650759]]"
5145,21433,b'\x8f\xac\x81i0\x81\x85PL\x81\x835\x81j',"[[15546106.506726658, 4263677.472091193]]"
5146,21434,b'\x8f\xac\x81i0\x81\x85PL\x81\x835\x81j',"[[15545686.582011681, 4263673.282693518]]"
5147,21435,b'\x8f\xac\x81i0\x81\x85PL\x81\x835\x81j',"[[15545643.909474898, 4263685.091388096]]"
5148,21443,b'\x8f\xac\x81i0\x81\x85PL\x81\x835\x81j',"[[15544573.375762133, 4262795.294896177]]"
5149,21457,b'\x8f\xac\x81i0\x81\x85PL\x81\x835\x81j',"[[15544885.071897542, 4262786.9148502955]]"
5150,21458,b'\x8f\xac\x81i0\x81\x85PL\x81\x835\x81j',"[[15544079.554048948, 4263714.0434431685]]"
5151,21459,b'\x8f\xac\x81i0\x81\x85PL\x81\x835\x81j',"[[15544043.993992353, 4263784.514532719]]"
5152,21460,b'\x8f\xac\x81i0\x81\x85PL\x81\x835\x81j',"[[15544095.015441194, 4263759.373425966]]"
5153,21461,b'\x8f\xac\x81i0\x81\x85PL\x81\x835\x81j',"[[15544142.326221325, 4263746.421962556]]"
5154,21462,b'\x8f\xac\x81i0\x81\x85PL\x81\x835\x81j',"[[15544105.52925871, 4263814.226727272]]"
5155,21465,b'\x8f\xac\x81i0\x81\x85PL\x81\x835\x81j',"[[15544194.583311358, 4263529.297140635]]"
5156,21466,b'\x8f\xac\x81i0\x81\x85PL\x81\x835\x81j',"[[15544234.472906234, 4263521.678880956]]"
5157,21473,b'\x8f\xac\x81i0\x81\x85PL\x81\x835\x81j',"[[15543522.024210228, 4263251.993916973]]"
5158,21485,b'\x8f\xac\x81i0\x81\x85PL\x81\x835\x81j',"[[15543563.150829457, 4263281.323714366]]"
5159,21486,b'\x8f\xac\x81i0\x81\x85PL\x81\x835\x81j',"[[15543334.635640329, 4263223.42608467]]"
5160,21487,b'\x8f\xac\x81i0\x81\x85PL\x81\x835\x81j',"[[15541790.68908205, 4262680.648381894]]"
5161,21488,b'\x8f\xac\x81i0\x81\x85PL\x81\x835\x81j',"[[15541326.857925063, 4262794.914871605]]"
5162,21493,b'\x8f\xac\x81i0\x81\x85PL\x81\x835\x81j',"[[15542161.759648634, 4263442.449457879]]"
5163,21498,b'\x8f\xac\x81i0\x81\x85PL\x81\x835\x81j',"[[15541794.4049864, 4263523.203355645]]"
5164,21499,b'\x8f\xac\x81i0\x81\x85PL\x81\x835\x81j',"[[15541830.88994898, 4263017.738764447]]"
5165,21505,b'\x8f\xac\x81i0\x81\x85PL\x81\x835\x81j',"[[15541359.328798572, 4263239.043078085]]"
5166,21506,b'\x8f\xac\x81i0\x81\x85PL\x81\x835\x81j',"[[15541623.71278828, 4263213.52248732]]"
5167,21507,b'\x8f\xac\x81i0\x81\x85PL\x81\x835\x81j',"[[15541899.847778939, 4263239.043290979]]"
5168,21508,b'\x8f\xac\x81i0\x81\x85PL\x81\x835\x81j',"[[15542090.637485472, 4263248.1851283]]"
5169,21509,b'\x8f\xac\x81i0\x81\x85PL\x81\x835\x81j',"[[15542393.365750244, 4263334.651360752]]"
5170,21510,b'\x8f\xac\x81i0\x81\x85PL\x81\x835\x81j',"[[15541948.395175926, 4263195.239068139]]"
5171,21511,b'\x92\x86\x81i5\x81\x85PL\x81\x8315\x81j',"[[15540275.505280051, 4262680.647532919]]"
5172,21512,b'\x8f\xac\x81i0\x81\x85PL\x81\x835\x81j',"[[15541110.403139362, 4262794.914745119]]"
5173,21518,b'\x92\x86\x81i5\x81\x85PL\x81\x8315\x81j',"[[15540024.729940701, 4263173.145699007]]"
5174,21519,b'\x8f\xac\x81i0\x81\x85PL\x81\x835\x81j',"[[15540115.33126603, 4263093.917881697]]"
5175,21521,b'\x8f\xac\x81i0\x81\x85PL\x81\x835\x81j',"[[15541031.554079622, 4263190.6678362945]]"
5176,21522,b'\x8f\xac\x81i0\x81\x85PL\x81\x835\x81j',"[[15541109.784388447, 4262754.921301722]]"
5177,21523,b'\x8f\xac\x81i0\x81\x85PL\x81\x835\x81j',"[[15540824.998069428, 4263795.561787834]]"
5178,21524,b'\x8f\xac\x81i0\x81\x85PL\x81\x835\x81j',"[[15540794.075721852, 4263760.897448391]]"
5179,21525,b'\x8f\xac\x81i0\x81\x85PL\x81\x835\x81j',"[[15540790.983045943, 4263693.093039757]]"
5180,21526,b'\x8f\xac\x81i0\x81\x85PL\x81\x835\x81j',"[[15540806.134890508, 4263676.713463245]]"
5181,21529,b'\x8f\xac\x81i0\x81\x85PL\x81\x835\x81j',"[[15538853.401353475, 4263251.992395578]]"
5182,21544,b'\x8f\xac\x81i0\x81\x85PL\x81\x835\x81j',"[[15539008.01369345, 4263594.814407173]]"
5183,21548,b'\x92\x86\x81i5\x81\x85PL\x81\x8315\x81j',"[[15539079.754061794, 4263781.466513698]]"
5184,21549,b'\x92\x86\x81i5\x81\x85PL\x81\x8315\x81j',"[[15538891.128545487, 4263663.760965862]]"
5185,21552,b'\x8f\xac\x81i0\x81\x85PL\x81\x835\x81j',"[[15539932.273208687, 4263218.092436059]]"
5186,21553,b'\x92\x86\x81i5\x81\x85PL\x81\x8315\x81j',"[[15539066.147896636, 4263720.518527791]]"
5187,21554,b'\x92\x86\x81i5\x81\x85PL\x81\x8315\x81j',"[[15539101.708922893, 4263815.74980907]]"
5188,21555,b'\x92\x86\x81i5\x81\x85PL\x81\x8315\x81j',"[[15539092.122618303, 4263746.80223527]]"
5189,21556,b'\x8f\xac\x81i0\x81\x85PL\x81\x835\x81j',"[[15539048.213216713, 4263727.37508227]]"
5190,21557,b'\x8f\xac\x81i0\x81\x85PL\x81\x835\x81j',"[[15538866.390836835, 4263660.332580734]]"
5191,21558,b'\x92\x86\x81i5\x81\x85PL\x81\x8315\x81j',"[[15539022.23842513, 4263704.519645967]]"
5192,21559,b'\x92\x86\x81i5\x81\x85PL\x81\x8315\x81j',"[[15538857.114329431, 4263688.139909312]]"
5193,21566,b'\x8f\xac\x81i0\x81\x85PL\x81\x835\x81j',"[[15539020.380637553, 4263240.18432462]]"
5194,21567,b'\x8f\xac\x81i0\x81\x85PL\x81\x835\x81j',"[[15539018.525710557, 4263311.033233024]]"
5195,21568,b'\x8f\xac\x81i0\x81\x85PL\x81\x835\x81j',"[[15539368.8707173, 4262887.851492571]]"
5196,21569,b'\x8f\xac\x81i0\x81\x85PL\x81\x835\x81j',"[[15539349.080514496, 4262883.661569291]]"
5197,21570,b'\x8f\xac\x81i0\x81\x85PL\x81\x835\x81j',"[[15539075.73115156, 4263247.421573432]]"
5198,21571,b'\x8f\xac\x81i0\x81\x85PL\x81\x835\x81j',"[[15538935.345388774, 4263336.173203437]]"
5199,21572,b'\x8f\xac\x81i0\x81\x85PL\x81\x835\x81j',"[[15538931.325244585, 4263301.129520237]]"
5200,21573,b'\x8f\xac\x81i0\x81\x85PL\x81\x835\x81j',"[[15538930.39736804, 4263266.086033561]]"
5201,21574,b'\x92\x86\x81i5\x81\x85PL\x81\x8315\x81j',"[[15539117.169140043, 4263676.712456999]]"
5202,21575,b'\x8f\xac\x81i0\x81\x85PL\x81\x835\x81j',"[[15538809.802742837, 4263533.105582561]]"
5203,21576,b'\x8f\xac\x81i0\x81\x85PL\x81\x835\x81j',"[[15538871.646890344, 4263533.105596928]]"
5204,21578,b'\x92\x86\x81i5\x81\x85PL\x81\x8315\x81j',"[[15538747.958689934, 4263571.197266269]]"
5205,21580,b'\x8f\xac\x81i0\x81\x85PL\x81\x835\x81j',"[[15538778.880748002, 4263571.19725448]]"
5206,21581,b'\x8f\xac\x81i0\x81\x85PL\x81\x835\x81j',"[[15538902.568823375, 4263495.013907392]]"
5207,21582,b'\x92\x86\x81i5\x81\x85PL\x81\x8315\x81j',"[[15538840.724521808, 4263495.013944849]]"
5208,21583,b'\x8f\xac\x81i0\x81\x85PL\x81\x835\x81j',"[[15538871.646890344, 4263533.105596928]]"
5209,21584,b'\x92\x86\x81i5\x81\x85PL\x81\x8315\x81j',"[[15538809.802742837, 4263533.105582561]]"
5210,21585,b'\x8f\xac\x81i0\x81\x85PL\x81\x835\x81j',"[[15538778.880748002, 4263571.19725448]]"
5211,21587,b'\x8f\xac\x81i0\x81\x85PL\x81\x835\x81j',"[[15537616.517510206, 4263290.081947982]]"
5212,21590,b'\x8f\xac\x81i0\x81\x85PL\x81\x835\x81j',"[[15537832.972662028, 4263366.264124967]]"
5213,21591,b'\x8f\xac\x81i0\x81\x85PL\x81\x835\x81j',"[[15537925.73910613, 4263404.355462446]]"
5214,21595,b'\x8f\xac\x81i0\x81\x85PL\x81\x835\x81j',"[[15538234.961929457, 4263747.182479565]]"
5215,21598,b'\x8f\xac\x81i0\x81\x85PL\x81\x835\x81j',"[[15538402.868129522, 4263592.147455028]]"
5216,21599,b'\x92\x86\x81i5\x81\x85PL\x81\x8315\x81j',"[[15538198.16357834, 4263561.292821834]]"
5217,21600,b'\x92\x86\x81i5\x81\x85PL\x81\x8315\x81j',"[[15538683.332401002, 4263743.754584038]]"
5218,21601,b'\x92\x86\x81i5\x81\x85PL\x81\x8315\x81j',"[[15538685.18760815, 4263728.5176476585]]"
5219,21602,b'\x92\x86\x81i5\x81\x85PL\x81\x8315\x81j',"[[15538686.424444677, 4263716.3280318]]"
5220,21603,b'\x8f\xac\x81i0\x81\x85PL\x81\x835\x81j',"[[15538713.63597168, 4263719.756426165]]"
5221,21604,b'\x8f\xac\x81i0\x81\x85PL\x81\x835\x81j',"[[15538681.78568854, 4263633.667990171]]"
5222,21605,b'\x8f\xac\x81i0\x81\x85PL\x81\x835\x81j',"[[15538445.849873176, 4263590.623880943]]"
5223,21606,b'\x92\x86\x81i5\x81\x85PL\x81\x8315\x81j',"[[15538223.829009207, 4263571.958659337]]"
5224,21607,b'\x92\x86\x81i5\x81\x85PL\x81\x8315\x81j',"[[15538676.83840017, 4263666.808121039]]"
5225,21608,b'\x92\x86\x81i5\x81\x85PL\x81\x8315\x81j',"[[15538330.819759706, 4263615.764446007]]"
5226,21613,b'\x8f\xac\x81i0\x81\x85PL\x81\x835\x81j',"[[15537957.276159998, 4262727.87545574]]"
5227,21614,b'\x8f\xac\x81i0\x81\x85PL\x81\x835\x81j',"[[15537644.657628754, 4263495.393681933]]"
5228,21615,b'\x8f\xac\x81i0\x81\x85PL\x81\x835\x81j',"[[15537677.435146095, 4263512.915928045]]"
5229,21616,b'\x8f\xac\x81i0\x81\x85PL\x81\x835\x81j',"[[15537744.841686608, 4262780.057174318]]"
5230,21617,b'\x8f\xac\x81i0\x81\x85PL\x81\x835\x81j',"[[15537699.386315009, 4262801.006185169]]"
5231,21619,b'\x92\x86\x81i5\x81\x85PL\x81\x8315\x81j',"[[15537882.138636742, 4263342.647667296]]"
5232,21620,b'\x92\x86\x81i5\x81\x85PL\x81\x8315\x81j',"[[15537851.216785952, 4263380.738765994]]"
5233,21621,b'\x92\x86\x81i5\x81\x85PL\x81\x8315\x81j',"[[15537882.138790838, 4263380.738832233]]"
5234,21622,b'\x8f\xac\x81i0\x81\x85PL\x81\x835\x81j',"[[15537943.9830474, 4263380.738948759]]"
5235,21623,b'\x8f\xac\x81i0\x81\x85PL\x81\x835\x81j',"[[15538036.749511536, 4263418.830254172]]"
5236,21624,b'\x92\x86\x81i5\x81\x85PL\x81\x8315\x81j',"[[15537974.905284073, 4263418.830170958]]"
5237,21625,b'\x8f\xac\x81i0\x81\x85PL\x81\x835\x81j',"[[15538067.671810038, 4263456.921714537]]"
5238,21626,b'\x8f\xac\x81i0\x81\x85PL\x81\x835\x81j',"[[15538067.671810038, 4263456.921714537]]"
5239,21627,b'\x8f\xac\x81i0\x81\x85PL\x81\x835\x81j',"[[15538036.749711199, 4263456.92168129]]"
5240,21628,b'\x92\x86\x81i5\x81\x85PL\x81\x8315\x81j',"[[15538129.51658973, 4263571.196708458]]"
5241,21629,b'\x92\x86\x81i5\x81\x85PL\x81\x8315\x81j',"[[15538129.51658973, 4263571.196708458]]"
5242,21630,b'\x8f\xac\x81i0\x81\x85PL\x81\x835\x81j',"[[15538717.036632285, 4263571.197190124]]"
5243,21631,b'\x8f\xac\x81i0\x81\x85PL\x81\x835\x81j',"[[15536379.631493555, 4262832.999622847]]"
5244,21642,b'\x8f\xac\x81i0\x81\x85PL\x81\x835\x81j',"[[15537400.062433483, 4263213.900190366]]"
5245,21643,b'\x8f\xac\x81i0\x81\x85PL\x81\x835\x81j',"[[15537183.60799356, 4263251.990767558]]"
5246,21651,b'\x8f\xac\x81i0\x81\x85PL\x81\x835\x81j',"[[15537400.06341876, 4263404.354989806]]"
5247,21666,b'\x8f\xac\x81i0\x81\x85PL\x81\x835\x81j',"[[15536972.72054591, 4263530.437513212]]"
5248,21680,b'\x8f\xac\x81i0\x81\x85PL\x81\x835\x81j',"[[15537115.26818633, 4262848.617079557]]"
5249,21682,b'\x8f\xac\x81i0\x81\x85PL\x81\x835\x81j',"[[15537508.291958803, 4263639.380714747]]"
5250,21683,b'\x8f\xac\x81i0\x81\x85PL\x81\x835\x81j',"[[15537495.304944418, 4263698.042710187]]"
5251,21685,b'\x8f\xac\x81i0\x81\x85PL\x81\x835\x81j',"[[15537442.427779991, 4263634.428731226]]"
5252,21686,b'\x8f\xac\x81i0\x81\x85PL\x81\x835\x81j',"[[15537458.816438574, 4263628.333940339]]"
5253,21756,b'\x8f\xac\x81i0\x81\x85PL\x81\x835\x81j',"[[15535428.161517316, 4263548.339732714]]"
5254,21757,b'\x8f\xac\x81i0\x81\x85PL\x81\x835\x81j',"[[15535620.803766102, 4262976.596763599]]"
5255,21758,b'\x8f\xac\x81i0\x81\x85PL\x81\x835\x81j',"[[15535717.590069333, 4263005.164180693]]"
5256,21762,b'\x8f\xac\x81i0\x81\x85PL\x81\x835\x81j',"[[15536026.810287349, 4262809.383923257]]"
5257,21763,b'\x8f\xac\x81i0\x81\x85PL\x81\x835\x81j',"[[15535346.525727253, 4263228.373261772]]"
5258,21765,b'\x8f\xac\x81i0\x81\x85PL\x81\x835\x81j',"[[15534555.536116267, 4262756.820488562]]"
5259,21768,b'\x8f\xac\x81i0\x81\x85PL\x81\x835\x81j',"[[15533968.017071106, 4263099.62726291]]"
5260,21787,b'\x8f\xac\x81i0\x81\x85PL\x81\x835\x81j',"[[15534215.395208076, 4263366.262307883]]"
5261,21788,b'\x8f\xac\x81i0\x81\x85PL\x81\x835\x81j',"[[15534060.785063647, 4263480.155465763]]"
5262,21789,b'\x8f\xac\x81i0\x81\x85PL\x81\x835\x81j',"[[15533875.253216209, 4263708.707290997]]"
5263,21859,b'\x8f\xac\x81i0\x81\x85PL\x81\x835\x81j',"[[15533782.482943678, 4262756.820460972]]"
5264,21860,b'\x8f\xac\x81i0\x81\x85PL\x81\x835\x81j',"[[15533689.717633966, 4263023.447066798]]"
5265,21861,b'\x8f\xac\x81i0\x81\x85PL\x81\x835\x81j',"[[15532885.742991015, 4263251.608766642]]"
5266,21864,b'\x8f\xac\x81i0\x81\x85PL\x81\x835\x81j',"[[15533720.642877793, 4263784.892349023]]"
5267,21960,b'\x8f\xac\x81i0\x81\x85PL\x81\x835\x81j',"[[15533134.668076921, 4263705.660202041]]"
5268,21961,b'\x8f\xac\x81i0\x81\x85PL\x81\x835\x81j',"[[15532593.526736287, 4262786.911343854]]"
5269,21962,b'\x8f\xac\x81i0\x81\x85PL\x81\x835\x81j',"[[15533226.196321234, 4263391.021653481]]"
5270,21963,b'\x8f\xac\x81i0\x81\x85PL\x81\x835\x81j',"[[15533323.600889292, 4263336.170317593]]"
5271,21964,b'\x8f\xac\x81i0\x81\x85PL\x81\x835\x81j',"[[15533124.773337774, 4263801.6533641135]]"
5272,21965,b'\x8f\xac\x81i0\x81\x85PL\x81\x835\x81j',"[[15533080.863755321, 4263758.608680304]]"
5273,21966,b'\x8f\xac\x81i0\x81\x85PL\x81\x835\x81j',"[[15533224.650428494, 4263421.113802556]]"
5274,21967,b'\x8f\xac\x81i0\x81\x85PL\x81\x835\x81j',"[[15532514.674730968, 4262642.554542321]]"
5275,21968,b'\x8f\xac\x81i0\x81\x85PL\x81\x835\x81j',"[[15531989.308030503, 4262794.910589455]]"
5276,21969,b'\x8f\xac\x81i0\x81\x85PL\x81\x835\x81j',"[[15531896.54229771, 4262984.977426337]]"
5277,21971,b'\x8f\xac\x81i0\x81\x85PL\x81\x835\x81j',"[[15531587.322377477, 4263403.974305883]]"
5278,22003,b'\x8f\xac\x81i0\x81\x85PL\x81\x835\x81j',"[[15531602.165014064, 4263421.115338825]]"
5279,22004,b'\x8f\xac\x81i0\x81\x85PL\x81\x835\x81j',"[[15531500.740416622, 4263445.493923448]]"
5280,22006,b'\x8f\xac\x81i0\x81\x85PL\x81\x835\x81j',"[[15530597.811353406, 4263023.069413784]]"
5281,22007,b'\x8f\xac\x81i0\x81\x85PL\x81\x835\x81j',"[[15530814.269117229, 4263670.617798736]]"
5282,22047,b'\x8f\xac\x81i0\x81\x85PL\x81\x835\x81j',"[[15530497.316667743, 4263616.908362985]]"
5283,22048,b'\x8f\xac\x81i0\x81\x85PL\x81\x835\x81j',"[[15530748.095476458, 4263604.718574538]]"
5284,22049,b'\x8f\xac\x81i0\x81\x85PL\x81\x835\x81j',"[[15530334.664669696, 4263289.702848312]]"
5285,22050,b'\x8f\xac\x81i0\x81\x85PL\x81\x835\x81j',"[[15530444.747617744, 4263279.7990074465]]"
5286,22051,b'\x8f\xac\x81i0\x81\x85PL\x81\x835\x81j',"[[15530256.12253939, 4263318.271205268]]"
5287,22053,b'\x8f\xac\x81i0\x81\x85PL\x81\x835\x81j',"[[15530251.17335461, 4262928.988181285]]"
5288,22054,b'\x8f\xac\x81i0\x81\x85PL\x81\x835\x81j',"[[15530430.523127219, 4263194.0949456515]]"
5289,22055,b'\x8f\xac\x81i0\x81\x85PL\x81\x835\x81j',"[[15531125.652933795, 4263074.490107431]]"
5290,22056,b'\x8f\xac\x81i0\x81\x85PL\x81\x835\x81j',"[[15531094.4213175, 4262998.31015004]]"
5291,22057,b'\x8f\xac\x81i0\x81\x85PL\x81\x835\x81j',"[[15531139.876910591, 4263019.640443304]]"
5292,22058,b'\x8f\xac\x81i0\x81\x85PL\x81\x835\x81j',"[[15530873.017646994, 4262754.537864727]]"
5293,22059,b'\x8f\xac\x81i0\x81\x85PL\x81\x835\x81j',"[[15530213.449470665, 4263228.376870064]]"
5294,22060,b'\x8f\xac\x81i0\x81\x85PL\x81\x835\x81j',"[[15530213.449470665, 4263228.376870064]]"
5295,22061,b'\x8f\xac\x81i0\x81\x85PL\x81\x835\x81j',"[[15530213.449470665, 4263228.376870064]]"
5296,22062,b'\x8f\xac\x81i0\x81\x85PL\x81\x835\x81j',"[[15528928.016564514, 4263708.712886388]]"
5297,22110,b'\x8f\xac\x81i0\x81\x85PL\x81\x835\x81j',"[[15529137.976010147, 4263218.094333247]]"
5298,22111,b'\x8f\xac\x81i0\x81\x85PL\x81\x835\x81j',"[[15529857.224556481, 4262876.425356708]]"
5299,22112,b'\x8f\xac\x81i0\x81\x85PL\x81\x835\x81j',"[[15529398.64858909, 4262897.75635478]]"
5300,22113,b'\x8f\xac\x81i0\x81\x85PL\x81\x835\x81j',"[[15529324.435708553, 4262981.55371635]]"
5301,22114,b'\x8f\xac\x81i0\x81\x85PL\x81\x835\x81j',"[[15529248.058324313, 4263069.922554723]]"
