,液状化履歴,geometry
41,1923_土地が陥没した地域,"POLYGON ((15555507.688114475 4238307.322233744, 15555507.68989307 4238592.447770489, 15555855.563881593 4238592.446725349, 15555855.562064333 4238307.321188631, 15555507.688114475 4238307.322233744))"
42,1923_土地が陥没した地域,"POLYGON ((15555507.68989307 4238592.447770489, 15555507.691670815 4238877.44389601, 15555855.56569798 4238877.44285084, 15555855.563881593 4238592.446725349, 15555507.68989307 4238592.447770489))"
43,1923_土地が陥没した地域,"POLYGON ((15555855.563881593 4238592.446725349, 15555855.56569798 4238877.44285084, 15556203.439725153 4238877.441805675, 15556203.43787012 4238592.445680208, 15555855.563881593 4238592.446725349))"
44,1923_土地が陥没した地域,"POLYGON ((15556551.309964059 4238307.319098405, 15556551.311858645 4238592.444635066, 15556899.18584712 4238592.443589924, 15556899.183913877 4238307.318053286, 15556551.309964059 4238307.319098405))"
45,1923_土地が陥没した地域,"POLYGON ((15556203.43787012 4238592.445680208, 15556203.439725153 4238877.441805675, 15556551.313752323 4238877.440760506, 15556551.311858645 4238592.444635066, 15556203.43787012 4238592.445680208))"
46,1923_土地が陥没した地域,"POLYGON ((15556551.311858645 4238592.444635066, 15556551.313752323 4238877.440760506, 15556899.187779434 4238877.43971534, 15556899.18584712 4238592.443589924, 15556551.311858645 4238592.444635066))"
47,1923_軽度の液状化が生じた地域をおおよそ確定可,"POLYGON ((15549941.713652367 4239732.630067455, 15549941.715275515 4240017.656008489, 15550289.58907078 4240017.6550582405, 15550289.587466953 4239732.629117225, 15549941.713652367 4239732.630067455))"
48,1923_軽度の液状化が生じた地域をおおよそ確定可,"POLYGON ((15550289.587466953 4239732.629117225, 15550289.58907078 4240017.6550582405, 15550637.46286604 4240017.654107988, 15550637.461281536 4239732.6281670015, 15550289.587466953 4239732.629117225))"
49,1923_土地が陥没した地域,"POLYGON ((15555507.691670815 4238877.44389601, 15555507.693216665 4239162.4475207655, 15555855.56722451 4239162.446475573, 15555855.56569798 4238877.44285084, 15555507.691670815 4238877.44389601))"
50,1923_土地が陥没した地域,"POLYGON ((15555855.56569798 4238877.44285084, 15555855.56722451 4239162.446475573, 15556203.441232357 4239162.4454303775, 15556203.439725153 4238877.441805675, 15555855.56569798 4238877.44285084))"
51,1923_土地が陥没した地域,"POLYGON ((15555855.56722451 4239162.446475573, 15555855.568751771 4239447.59433427, 15556203.44274029 4239447.5932890475, 15556203.441232357 4239162.4454303775, 15555855.56722451 4239162.446475573))"
52,1923_土地が陥没した地域,"POLYGON ((15556203.439725153 4238877.441805675, 15556203.441232357 4239162.4454303775, 15556551.315240204 4239162.444385182, 15556551.313752323 4238877.440760506, 15556203.439725153 4238877.441805675))"
53,1923_土地が陥没した地域,"POLYGON ((15556551.313752323 4238877.440760506, 15556551.315240204 4239162.444385182, 15556899.189248007 4239162.443339988, 15556899.187779434 4238877.43971534, 15556551.313752323 4238877.440760506))"
54,1923_土地が陥没した地域,"POLYGON ((15556203.441232357 4239162.4454303775, 15556203.44274029 4239447.5932890475, 15556551.316728804 4239447.592243826, 15556551.315240204 4239162.444385182, 15556203.441232357 4239162.4454303775))"
